행정구역,총계,총계 남,총계 여,중구 계,중구 남,중구 여,동구 계,동구 남,동구 여,서구 계,서구 남,서구 여,남구 계,남구 남,남구 여,북구 계,북구 남,북구 여,수성구 계,수성구 남,수성구 여,달서구 계,달서구 남,달서구 여,달성군 계,달성군 남,달성군 여
30세,"27,748","15,155","12,593","1,079",548,531,"4,066","2,215","1,851","1,966","1,173",793,"1,785",981,804,"4,900","2,660","2,240","3,943","2,127","1,816","6,666","3,683","2,983","3,343","1,768","1,575"
31세,"26,377","14,185","12,192",954,516,438,"4,078","2,167","1,911","1,708","1,000",708,"1,547",850,697,"4,769","2,595","2,174","3,651","1,924","1,727","6,160","3,310","2,850","3,510","1,823","1,687"
32세,"26,977","14,239","12,738","1,064",522,542,"4,213","2,195","2,018","1,770","1,018",752,"1,630",891,739,"4,965","2,621","2,344","3,604","1,870","1,734","6,102","3,277","2,825","3,629","1,845","1,784"
33세,"27,506","14,632","12,874","1,043",551,492,"4,120","2,188","1,932","1,808","1,015",793,"1,673",894,779,"4,968","2,637","2,331","3,577","1,854","1,723","6,246","3,348","2,898","4,071","2,145","1,926"
34세,"27,315","14,341","12,974","1,094",575,519,"4,212","2,229","1,983","1,721",969,752,"1,577",829,748,"4,897","2,634","2,263","3,734","1,812","1,922","6,115","3,190","2,925","3,965","2,103","1,862"
35세,"30,255","15,433","14,822","1,145",569,576,"4,544","2,393","2,151","1,868","1,033",835,"1,741",898,843,"5,493","2,856","2,637","4,341","2,065","2,276","6,802","3,427","3,375","4,321","2,192","2,129"
36세,"34,100","16,891","17,209","1,196",583,613,"5,195","2,630","2,565","2,097","1,143",954,"1,905",956,949,"6,170","3,074","3,096","4,872","2,212","2,660","7,647","3,789","3,858","5,018","2,504","2,514"
37세,"36,719","18,248","18,471","1,262",664,598,"5,621","2,801","2,820","2,172","1,188",984,"1,988",967,"1,021","6,587","3,293","3,294","5,453","2,516","2,937","8,382","4,094","4,288","5,254","2,725","2,529"
38세,"37,726","18,927","18,799","1,252",657,595,"5,781","2,969","2,812","2,238","1,231","1,007","2,054","1,050","1,004","6,777","3,354","3,423","5,908","2,668","3,240","8,505","4,228","4,277","5,211","2,770","2,441"
39세,"37,702","18,668","19,034","1,222",651,571,"5,585","2,816","2,769","2,287","1,207","1,080","1,971","1,014",957,"6,858","3,435","3,423","6,143","2,764","3,379","8,546","4,169","4,377","5,090","2,612","2,478"
40세,"34,660","17,149","17,511","1,045",546,499,"5,043","2,588","2,455","2,037","1,114",923,"1,813",903,910,"6,260","3,130","3,130","5,995","2,733","3,262","8,045","3,881","4,164","4,422","2,254","2,168"
41세,"34,268","17,050","17,218",917,476,441,"4,920","2,541","2,379","1,982","1,062",920,"1,856",940,916,"6,331","3,103","3,228","6,045","2,724","3,321","7,996","3,972","4,024","4,221","2,232","1,989"
42세,"35,323","17,718","17,605","1,034",552,482,"5,020","2,639","2,381","2,142","1,183",959,"1,814",924,890,"6,496","3,221","3,275","6,421","2,932","3,489","8,219","4,031","4,188","4,177","2,236","1,941"
43세,"35,966","17,824","18,142","1,029",530,499,"4,858","2,546","2,312","2,148","1,174",974,"1,843",921,922,"6,804","3,299","3,505","6,818","3,044","3,774","8,524","4,193","4,331","3,942","2,117","1,825"
44세,"38,709","19,104","19,605","1,046",528,518,"5,258","2,825","2,433","2,416","1,319","1,097","2,066","1,035","1,031","7,490","3,659","3,831","7,428","3,279","4,149","8,927","4,303","4,624","4,078","2,156","1,922"
45세,"42,013","20,580","21,433","1,153",580,573,"5,507","2,826","2,681","2,655","1,459","1,196","2,176","1,144","1,032","8,024","3,855","4,169","8,144","3,663","4,481","10,142","4,840","5,302","4,212","2,213","1,999"
46세,"43,260","21,190","22,070","1,225",616,609,"5,557","2,896","2,661","2,831","1,479","1,352","2,409","1,204","1,205","8,293","4,035","4,258","8,573","3,911","4,662","10,200","4,856","5,344","4,172","2,193","1,979"
47세,"43,699","21,501","22,198","1,178",602,576,"5,557","2,813","2,744","2,802","1,483","1,319","2,396","1,223","1,173","8,409","4,167","4,242","8,711","4,044","4,667","10,586","5,057","5,529","4,060","2,112","1,948"
48세,"45,143","22,216","22,927","1,251",639,612,"5,629","2,943","2,686","3,025","1,592","1,433","2,506","1,231","1,275","8,608","4,216","4,392","9,073","4,250","4,823","10,866","5,222","5,644","4,185","2,123","2,062"
49세,"44,823","21,984","22,839","1,230",626,604,"5,611","2,805","2,806","3,161","1,605","1,556","2,521","1,269","1,252","8,380","4,182","4,198","8,839","4,138","4,701","11,060","5,355","5,705","4,021","2,004","2,017"
50세,"46,644","22,863","23,781","1,185",607,578,"5,939","2,913","3,026","3,401","1,695","1,706","2,539","1,284","1,255","8,771","4,366","4,405","8,920","4,330","4,590","11,585","5,549","6,036","4,304","2,119","2,185"
51세,"43,854","21,538","22,316","1,152",575,577,"5,658","2,750","2,908","3,403","1,752","1,651","2,556","1,311","1,245","7,889","3,913","3,976","8,329","4,051","4,278","10,834","5,193","5,641","4,033","1,993","2,040"
52세,"42,060","20,656","21,404","1,169",585,584,"5,379","2,624","2,755","3,272","1,653","1,619","2,400","1,163","1,237","7,815","3,948","3,867","7,735","3,790","3,945","10,389","4,962","5,427","3,901","1,931","1,970"
53세,"41,915","20,711","21,204","1,066",526,540,"5,570","2,748","2,822","3,594","1,820","1,774","2,379","1,181","1,198","7,533","3,766","3,767","7,370","3,679","3,691","10,419","4,992","5,427","3,984","1,999","1,985"
54세,"41,698","20,286","21,412","1,149",582,567,"5,653","2,739","2,914","3,589","1,809","1,780","2,426","1,119","1,307","7,426","3,641","3,785","7,358","3,548","3,810","10,239","4,914","5,325","3,858","1,934","1,924"
55세,"38,456","18,912","19,544","1,075",540,535,"5,365","2,600","2,765","3,380","1,755","1,625","2,278","1,064","1,214","6,665","3,246","3,419","6,728","3,348","3,380","9,411","4,578","4,833","3,554","1,781","1,773"
56세,"43,983","21,859","22,124","1,185",596,589,"6,022","2,924","3,098","3,910","1,964","1,946","2,748","1,338","1,410","7,820","3,957","3,863","7,396","3,588","3,808","10,700","5,348","5,352","4,202","2,144","2,058"
57세,"41,755","20,616","21,139","1,191",573,618,"5,833","2,792","3,041","3,838","1,887","1,951","2,711","1,346","1,365","7,223","3,673","3,550","6,761","3,297","3,464","10,213","5,002","5,211","3,985","2,046","1,939"
